Service,Username,Password,Endpoint,Port
database,user_database,BackupPass$!,https://database.example.com,9581
api,user_api,BackupPass$!,https://api.example.com,5248
backup,user_backup,SecurePass456$,https://backup.example.com,5475
email,user_email,DevSecret%001,https://email.example.com,2344
ftp,user_ftp,Encrypted$Key,https://ftp.example.com,2671
webapp,user_webapp,RandomKey*&76,https://webapp.example.com,4837
cloud_storage,user_cloud_storage,AdminKey2023,https://cloud_storage.example.com,8492
analytics,user_analytics,AdminKey2023,https://analytics.example.com,6247
devops_tool,user_devops_tool,UserKey#987,https://devops_tool.example.com,1870
messaging_service,user_messaging_service,UserKey#987,https://messaging_service.example.com,4137
