Service,Username,Password,Endpoint,Port
database,user_database,MySecret789#,https://database.example.com,1358
api,user_api,BackupPass$!,https://api.example.com,8962
backup,user_backup,RandomKey*&76,https://backup.example.com,6838
email,user_email,DevSecret%001,https://email.example.com,1786
ftp,user_ftp,UserKey#987,https://ftp.example.com,6857
webapp,user_webapp,SecurePass456$,https://webapp.example.com,3842
cloud_storage,user_cloud_storage,SecurePass456$,https://cloud_storage.example.com,7106
analytics,user_analytics,RandomKey*&76,https://analytics.example.com,8114
devops_tool,user_devops_tool,MySecret789#,https://devops_tool.example.com,4215
messaging_service,user_messaging_service,DevSecret%001,https://messaging_service.example.com,5317
