Service,Username,Password,Endpoint,Port
database,user_database,SecurePass456$,https://database.example.com,6261
api,user_api,AdminKey2023,https://api.example.com,3852
backup,user_backup,MySecret789#,https://backup.example.com,2802
email,user_email,DevSecret%001,https://email.example.com,1669
ftp,user_ftp,MySecret789#,https://ftp.example.com,7876
webapp,user_webapp,AdminKey2023,https://webapp.example.com,8185
cloud_storage,user_cloud_storage,UserKey#987,https://cloud_storage.example.com,5508
analytics,user_analytics,UserKey#987,https://analytics.example.com,4247
devops_tool,user_devops_tool,Password123!,https://devops_tool.example.com,7198
messaging_service,user_messaging_service,TestPass@2024,https://messaging_service.example.com,6988
