Service,Username,Password,Endpoint,Port
database,user_database,Encrypted$Key,https://database.example.com,3772
api,user_api,Password123!,https://api.example.com,9516
backup,user_backup,DevSecret%001,https://backup.example.com,8580
email,user_email,DevSecret%001,https://email.example.com,5863
ftp,user_ftp,MySecret789#,https://ftp.example.com,9366
webapp,user_webapp,TestPass@2024,https://webapp.example.com,4465
cloud_storage,user_cloud_storage,AdminKey2023,https://cloud_storage.example.com,8551
analytics,user_analytics,BackupPass$!,https://analytics.example.com,2111
devops_tool,user_devops_tool,BackupPass$!,https://devops_tool.example.com,3115
messaging_service,user_messaging_service,Encrypted$Key,https://messaging_service.example.com,9301
