Service,Username,Password,Endpoint,Port
database,user_database,TestPass@2024,https://database.example.com,6058
api,user_api,SecurePass456$,https://api.example.com,2967
backup,user_backup,DevSecret%001,https://backup.example.com,4852
email,user_email,BackupPass$!,https://email.example.com,4306
ftp,user_ftp,AdminKey2023,https://ftp.example.com,9241
webapp,user_webapp,Encrypted$Key,https://webapp.example.com,1710
cloud_storage,user_cloud_storage,Encrypted$Key,https://cloud_storage.example.com,5768
analytics,user_analytics,DevSecret%001,https://analytics.example.com,9487
devops_tool,user_devops_tool,Encrypted$Key,https://devops_tool.example.com,9306
messaging_service,user_messaging_service,MySecret789#,https://messaging_service.example.com,5231
