Service,Username,Password,Endpoint,Port
database,user_database,SecurePass456$,https://database.example.com,2610
api,user_api,Encrypted$Key,https://api.example.com,4484
backup,user_backup,SecurePass456$,https://backup.example.com,6541
email,user_email,MySecret789#,https://email.example.com,6146
ftp,user_ftp,MySecret789#,https://ftp.example.com,1452
webapp,user_webapp,AdminKey2023,https://webapp.example.com,6251
cloud_storage,user_cloud_storage,AdminKey2023,https://cloud_storage.example.com,5502
analytics,user_analytics,BackupPass$!,https://analytics.example.com,2754
devops_tool,user_devops_tool,TestPass@2024,https://devops_tool.example.com,2894
messaging_service,user_messaging_service,MySecret789#,https://messaging_service.example.com,9499
