Service,Username,Password,Endpoint,Port
database,user_database,AdminKey2023,https://database.example.com,2870
api,user_api,RandomKey*&76,https://api.example.com,6620
backup,user_backup,DevSecret%001,https://backup.example.com,2131
email,user_email,Password123!,https://email.example.com,8765
ftp,user_ftp,UserKey#987,https://ftp.example.com,4406
webapp,user_webapp,DevSecret%001,https://webapp.example.com,5979
cloud_storage,user_cloud_storage,UserKey#987,https://cloud_storage.example.com,3721
analytics,user_analytics,Encrypted$Key,https://analytics.example.com,8173
devops_tool,user_devops_tool,MySecret789#,https://devops_tool.example.com,5243
messaging_service,user_messaging_service,MySecret789#,https://messaging_service.example.com,8651
