Service,Username,Password,Endpoint,Port
database,user_database,DevSecret%001,https://database.example.com,1414
api,user_api,Encrypted$Key,https://api.example.com,9896
backup,user_backup,DevSecret%001,https://backup.example.com,6682
email,user_email,TestPass@2024,https://email.example.com,9798
ftp,user_ftp,Password123!,https://ftp.example.com,7531
webapp,user_webapp,BackupPass$!,https://webapp.example.com,1619
cloud_storage,user_cloud_storage,DevSecret%001,https://cloud_storage.example.com,3507
analytics,user_analytics,RandomKey*&76,https://analytics.example.com,9849
devops_tool,user_devops_tool,BackupPass$!,https://devops_tool.example.com,5791
messaging_service,user_messaging_service,MySecret789#,https://messaging_service.example.com,4931
