Service,Username,Password,Endpoint,Port
database,user_database,DevSecret%001,https://database.example.com,4456
api,user_api,RandomKey*&76,https://api.example.com,5775
backup,user_backup,DevSecret%001,https://backup.example.com,1626
email,user_email,TestPass@2024,https://email.example.com,8877
ftp,user_ftp,SecurePass456$,https://ftp.example.com,8080
webapp,user_webapp,MySecret789#,https://webapp.example.com,1893
cloud_storage,user_cloud_storage,RandomKey*&76,https://cloud_storage.example.com,2001
analytics,user_analytics,DevSecret%001,https://analytics.example.com,2597
devops_tool,user_devops_tool,BackupPass$!,https://devops_tool.example.com,6236
messaging_service,user_messaging_service,SecurePass456$,https://messaging_service.example.com,3721
