Service,Username,Password,Endpoint,Port
database,user_database,TestPass@2024,https://database.example.com,1753
api,user_api,DevSecret%001,https://api.example.com,8724
backup,user_backup,SecurePass456$,https://backup.example.com,4005
email,user_email,TestPass@2024,https://email.example.com,6253
ftp,user_ftp,AdminKey2023,https://ftp.example.com,8079
webapp,user_webapp,UserKey#987,https://webapp.example.com,6229
cloud_storage,user_cloud_storage,RandomKey*&76,https://cloud_storage.example.com,1814
analytics,user_analytics,RandomKey*&76,https://analytics.example.com,4249
devops_tool,user_devops_tool,RandomKey*&76,https://devops_tool.example.com,8826
messaging_service,user_messaging_service,SecurePass456$,https://messaging_service.example.com,1840
