Service,Username,Password,Endpoint,Port
database,user_database,Encrypted$Key,https://database.example.com,8918
api,user_api,UserKey#987,https://api.example.com,7134
backup,user_backup,Password123!,https://backup.example.com,2874
email,user_email,TestPass@2024,https://email.example.com,8698
ftp,user_ftp,DevSecret%001,https://ftp.example.com,3379
webapp,user_webapp,Encrypted$Key,https://webapp.example.com,1333
cloud_storage,user_cloud_storage,MySecret789#,https://cloud_storage.example.com,2838
analytics,user_analytics,DevSecret%001,https://analytics.example.com,7491
devops_tool,user_devops_tool,SecurePass456$,https://devops_tool.example.com,4747
messaging_service,user_messaging_service,Password123!,https://messaging_service.example.com,4144
